,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.37,-73.41,296.48,88,75,3.1,US,1591915860
1,Goderich,43.75,-81.72,293.71,62,0,7.15,CA,1591916401
2,Hilo,19.73,-155.09,301.15,61,75,5.1,US,1591915700
3,Topolobampo,25.6,-109.05,307.59,52,5,7.7,MX,1591916402
4,Provideniya,64.38,-173.3,286.79,51,51,2.13,RU,1591915966
5,Atuona,-9.8,-139.03,300.59,76,18,8.41,PF,1591915948
6,Hermanus,-34.42,19.23,280.37,93,37,5,ZA,1591915955
7,Puerto Ayora,-0.74,-90.35,300.15,54,20,7.7,EC,1591915948
8,Baoning,25.34,110.03,299.15,88,40,2,CN,1591916406
9,Necochea,-38.55,-58.74,285.37,90,0,3.58,AR,1591916148
10,Faanui,-16.48,-151.75,300.57,80,20,7.58,PF,1591915954
11,Rey Bouba,8.67,14.18,298.17,76,5,1.44,CM,1591916410
12,Polillo,14.71,121.94,299.56,86,100,5.78,PH,1591916410
13,Castro,-24.79,-50.01,290.44,94,6,1.89,BR,1591915706
14,Chu,43.6,73.76,288.19,57,0,3.34,KZ,1591916411
15,Busselton,-33.65,115.33,285.93,85,10,7.05,AU,1591915874
16,Sept-Îles,50.2,-66.38,282.59,100,90,6.7,CA,1591916412
17,Alofi,-19.06,-169.92,298.15,78,75,6.7,NU,1591916172
18,Ushuaia,-54.8,-68.3,274.15,80,90,8.2,AR,1591915753
19,Port Lincoln,-34.73,135.87,285.15,47,100,6.32,AU,1591915718
20,Mildura,-34.2,142.15,277.15,100,40,4.82,AU,1591916371
21,Wattegama,6.8,81.48,298.49,76,100,3.77,LK,1591916186
22,Constitución,-35.33,-72.42,286.08,92,100,10.98,CL,1591915949
23,Nikolskoye,59.7,30.79,288.15,77,75,1,RU,1591915954
24,Barrow,71.29,-156.79,277.15,51,75,3.6,US,1591915988
25,Sungai Penuh,-2.08,101.38,292,95,97,1.24,ID,1591916417
26,Butaritari,3.07,172.79,301.96,72,86,3.94,KI,1591915959
27,New Norfolk,-42.78,147.06,277.59,81,82,0.74,AU,1591915719
28,Taltal,-25.4,-70.48,286.98,82,15,2.03,CL,1591915974
29,Cherskiy,68.75,161.3,289.87,57,7,2.3,RU,1591915718
30,Botwood,49.15,-55.35,287.04,49,46,1.34,CA,1591916420
31,Saint-Philippe,-21.36,55.77,292.15,63,39,5.1,RE,1591915705
32,Bredasdorp,-34.53,20.04,282.15,81,29,3.83,ZA,1591915947
33,Bukachacha,52.98,116.92,289.39,48,41,1.04,RU,1591916421
34,Mataura,-46.19,168.86,279.82,75,44,5.81,NZ,1591915717
35,Harper,4.38,-7.72,298.87,86,96,4.48,LR,1591915951
36,Clyde River,70.47,-68.59,279.15,60,75,4.1,CA,1591915977
37,San Cristobal,7.77,-72.22,303.15,58,40,4.6,VE,1591916422
38,Paamiut,61.99,-49.67,276.33,79,72,4.18,GL,1591916008
39,Madang,-5.22,145.8,300.65,78,54,1.25,PG,1591916423
40,Vila Velha,-20.33,-40.29,299.15,78,0,3.1,BR,1591915803
41,Qaanaaq,77.48,-69.36,277.05,75,100,0.53,GL,1591915958
42,Sitka,57.05,-135.33,290.15,51,75,2.6,US,1591915983
43,Dikson,73.51,80.55,273,96,72,4.04,RU,1591915946
44,Saint George,37.1,-113.58,310.37,7,1,5.1,US,1591915722
45,Nuuk,64.18,-51.72,275.15,85,90,8.7,GL,1591915949
46,Saskylakh,71.92,114.08,283.13,63,100,5.07,RU,1591915986
47,North Platte,41.12,-100.77,302.59,28,1,2.6,US,1591916208
48,Balkhash,46.84,74.98,291.49,49,0,5.26,KZ,1591916426
49,Chuguyevka,44.17,133.86,293.02,51,58,3.09,RU,1591916426
50,Ca Mau,9.18,105.15,298.63,86,83,1.14,VN,1591916427
51,Flinders,-34.58,150.86,287.59,79,94,0.45,AU,1591915761
52,Povenets,62.85,34.83,281.65,66,1,2.06,RU,1591916427
53,Tasiilaq,65.61,-37.64,278.15,80,89,4.1,GL,1591915946
54,Porbandar,21.64,69.61,303.02,76,57,4.13,IN,1591915980
55,George Town,5.41,100.34,299.82,94,20,1.5,MY,1591915963
56,Punta Arenas,-53.15,-70.92,273.15,85,21,4.1,CL,1591915674
57,Palmas,-10.21,-48.36,301.15,58,53,1.5,BR,1591916429
58,Hobart,-42.88,147.33,278.71,86,75,2.1,AU,1591915806
59,Caluquembe,-13.78,14.68,284.84,40,100,1.04,AO,1591916429
60,Wasilla,61.58,-149.44,291.15,52,75,1.91,US,1591916430
61,São Filipe,14.9,-24.5,298.15,80,0,3.04,CV,1591916169
62,Albany,42.6,-73.97,302.59,51,45,3.01,US,1591915949
63,Linjiang,41.81,126.91,292.95,56,45,0.99,CN,1591916431
64,Cape Town,-33.93,18.42,281.15,93,20,4.6,ZA,1591916109
65,Mitú,1.2,-70.17,296.01,95,79,0.87,CO,1591916167
66,Great Bend,38.36,-98.76,307.15,28,1,8.2,US,1591916433
67,Hazorasp,41.32,61.07,293.15,49,0,2.1,UZ,1591916433
68,Lufilufi,-13.87,-171.6,300.15,94,90,1.5,WS,1591916434
69,Turaif,31.67,38.66,294.15,49,17,5.1,SA,1591915968
70,Ribeira Grande,38.52,-28.7,291.01,87,68,7.98,PT,1591915976
71,Fukuechō,32.69,128.84,297.42,90,25,3.98,JP,1591916313
72,Geraldton,-28.77,114.6,292.15,77,75,7.2,AU,1591916014
73,Lavrentiya,65.58,-171,280.38,70,8,3.52,RU,1591915973
74,Hasaki,35.73,140.83,298.15,94,75,3.1,JP,1591915704
75,Berlevåg,70.86,29.09,279.4,82,98,9.29,NO,1591916436
76,Bitam,2.08,11.5,293.07,99,90,1.44,GA,1591916437
77,Mahébourg,-20.41,57.7,295.15,68,40,5.7,MU,1591915721
78,Road Town,18.42,-64.62,301.48,85,100,0.45,VG,1591916070
79,Kapaa,22.08,-159.32,301.15,65,75,7.7,US,1591915947
80,Bluff,-46.6,168.33,280.37,73,71,6.26,NZ,1591915949
81,Auki,-8.77,160.7,302.64,68,0,1.38,SB,1591916147
82,Katsuura,35.13,140.3,297.59,88,75,10.3,JP,1591915983
83,Wittingen,52.73,10.74,289.26,93,75,3.1,DE,1591916439
84,Thunder Bay,48.4,-89.32,282.15,70,90,6.2,CA,1591916160
85,Östersund,63.18,14.64,285.15,54,0,2.1,SE,1591916394
86,Rikitea,-23.12,-134.97,297,79,0,7.39,PF,1591915718
87,Nioro,13.35,-15.75,302.22,57,62,3.89,GM,1591916440
88,Chokurdakh,70.63,147.92,285.63,50,100,5.13,RU,1591915977
89,Taoudenni,22.68,-3.98,309.8,13,0,4.27,ML,1591916326
90,Hamilton,39.18,-84.53,300.37,39,20,3.1,US,1591915936
91,Yellowknife,62.46,-114.35,285.93,58,90,6.2,CA,1591916248
92,Dickinson,29.46,-95.05,304.82,33,1,4.1,US,1591916009
93,Hithadhoo,-0.6,73.08,302.13,74,90,4.38,MV,1591915952
94,Naze,28.37,129.48,300.15,100,75,6.7,JP,1591916023
95,Esil,51.96,66.4,293.55,49,5,1.82,KZ,1591916442
96,Port Alfred,-33.59,26.89,281.48,96,50,3.58,ZA,1591915957
97,Tuktoyaktuk,69.45,-133.04,279.15,75,20,5.7,CA,1591915955
98,Solnechnyy,50.72,136.63,283.56,91,100,3.23,RU,1591916182
99,Lukulu,-14.37,23.24,287.16,41,37,1.61,ZM,1591915948
100,Avarua,-21.21,-159.78,300.15,83,53,2.6,CK,1591915952
101,Nome,64.5,-165.41,283.15,87,75,3.1,US,1591916328
102,Vardø,70.37,31.11,280.12,85,87,6.25,NO,1591916445
103,Puerto Quijarro,-17.78,-57.77,299.72,44,5,1.85,BO,1591916445
104,Norman Wells,65.28,-126.83,295.15,37,40,4.6,CA,1591915964
105,Calama,-22.47,-68.93,289.15,36,53,7.2,CL,1591916401
106,Arraial do Cabo,-22.97,-42.03,296.15,94,14,1.5,BR,1591915951
107,Thompson,55.74,-97.86,283.15,53,90,4.6,CA,1591915720
108,Mar del Plata,-38,-57.56,287.59,93,0,3.1,AR,1591915675
109,Saint-François,46.42,3.91,288.15,82,93,1,FR,1591915982
110,Salaga,8.55,-0.52,297.97,83,32,1.56,GH,1591916447
111,Jacareacanga,-6.22,-57.75,297.07,94,64,0.69,BR,1591915979
112,Vila Franca do Campo,37.72,-25.43,290.15,93,75,4.6,PT,1591915975
113,Kahului,20.89,-156.47,304.15,43,40,10.8,US,1591915921
114,Vaini,-21.2,-175.2,298.15,61,20,5.1,TO,1591915947
115,Melito di Porto Salvo,37.92,15.77,292.59,88,20,2.6,IT,1591916449
116,Carnarvon,-24.87,113.63,295.16,71,60,6.51,AU,1591915960
117,Cidreira,-30.18,-50.21,290.9,93,26,3.45,BR,1591915954
118,Alice Springs,-23.7,133.88,284.26,50,0,2.6,AU,1591916057
119,Torbay,47.67,-52.73,281.15,87,75,9.3,CA,1591915948
120,San Patricio,19.22,-104.7,303.15,74,40,6.2,MX,1591915968
121,Klaksvík,62.23,-6.59,282.15,81,0,0.5,FO,1591916155
122,Belaya Gora,68.53,146.42,286.46,60,100,6.12,RU,1591916154
123,Fatehpur,25.93,80.8,307.1,39,15,2.68,IN,1591916451
124,Odda,60.07,6.55,289.82,58,99,0.89,NO,1591916320
125,Fort Nelson,58.81,-122.7,297.15,31,75,4.6,CA,1591916161
126,Mahon,39.89,4.27,293.15,82,40,6.7,ES,1591916452
127,Deputatsky,69.3,139.9,285.78,58,83,2.83,RU,1591916168
128,Podor,16.65,-14.96,310.15,35,4,5.72,MR,1591915986
129,Saint-Pierre,-21.34,55.48,292.15,63,17,5.1,RE,1591915722
130,Luanda,-8.84,13.23,295.15,83,20,2.1,AO,1591916453
131,Mossamedes,-15.2,12.15,291.1,65,0,1.69,AO,1591915966
132,Bathsheba,13.22,-59.52,301.15,74,20,7.7,BB,1591916136
133,Khatanga,71.97,102.5,278.15,69,93,6.02,RU,1591915959
134,Ryōtsu-minato,38.08,138.43,294.15,94,75,1,JP,1591916454
135,Alyangula,-13.85,136.42,292.15,93,71,5.31,AU,1591916455
136,Edson,53.58,-116.44,294.15,28,1,3.6,CA,1591916455
137,Saldanha,-33.01,17.94,281.15,87,10,0.5,ZA,1591916141
